--------------------------------------------------------------
    ID               Lower Left                Upper Right    
                      x  ,    y                 x  ,    y     
   R085             11.00, -48.10             65.31,  15.60   
   R086            -38.99, -72.41             36.08, -45.27   
   R087             17.60, -06.62             27.38,  23.83   
   R088            -12.05,  20.93             77.14,  73.06   
   R089            -04.07, -22.75            -00.02,  31.17   
   R090             27.49, -12.23             53.26,  72.30   
   R091            -27.43, -58.72             08.67,  50.19   
   R092             11.66, -71.41             69.74, -17.60   
   R093             26.81, -56.39             93.56,  63.56   
   R094            -84.76, -34.99             57.85,  50.44   
   R095            -25.37, -71.87             09.87, -65.53   
   R096            -92.26, -62.80            -29.63,  26.96   
   R097             25.16, -95.73             34.89, -33.53   
   R098            -14.46, -10.13             99.75,  24.86   
   R099            -56.14, -59.16             93.47, -14.19   
   R100            -21.24, -30.10             70.43,  71.59   
   R101            -55.19, -96.88             55.65,  93.05   
   R102            -07.73,  14.84             50.67,  37.88   
   R103             17.72, -12.11             69.70,  37.49   
   R104            -21.68, -66.50             74.99,  47.90   
   R105            -21.67, -90.23             19.73,  42.08   
   R106             13.96, -07.41             37.95,  64.15   
   R107            -81.64, -05.42             29.44,  12.47   
   R108            -54.01,  25.69             79.60,  88.72   
   R109            -54.12, -91.52             61.53, -25.06   
   R110            -86.40, -56.68             56.20, -16.20   
   R111             20.31, -20.41             52.16, -17.24   
   R112             07.84, -98.15             26.50,  71.75   
   R113            -96.37, -46.37             73.28,  45.25   
   R114            -40.05, -27.12             21.31,  87.52   
   R115            -44.17,  25.69             02.72,  64.66   
   R116            -80.65,  15.44             21.05,  59.69   
   R117            -25.65, -06.67             14.16,  58.76   
   R118            -72.37, -89.33             96.91, -02.33   
   R119             01.82, -29.27             42.94,  32.93   
   R120             28.45,  24.38             38.54,  69.04   
   R121            -33.52, -30.70             60.98,  96.93   
   R122            -00.09, -02.89             37.89,  29.71   
   R123             25.27, -35.03             62.33,  73.08   
   R124            -66.84, -72.37             12.59,  95.24   
   R125             21.71, -12.44             80.29,  15.33   
   R126            -69.93,  32.46             63.52,  48.17   
   R127            -40.48, -48.73             52.11,  09.88   
   R128            -33.25,  01.26             05.63,  01.41   
   R129             01.58,  15.79             71.14,  66.74   
   R130             02.82, -98.88             57.45,  53.56   
   R131            -06.91,  19.78             62.25,  42.55   
   R132            -45.45, -99.68             00.87, -54.01   
   R133            -04.23, -67.19             11.49,  62.63   
   R134             21.83, -02.25             50.69,  21.62   
   R135            -10.18, -80.08             51.12,  42.59   
   R136            -51.69, -90.88             62.68, -07.33   
   R137            -13.35,  33.22             68.13,  65.58   
   R138            -29.10,  25.03             94.27,  33.92   
   R139             22.19, -73.32             73.86,  54.58   
   R140            -82.74, -06.29             59.92,  41.88   
   R141            -72.75, -37.35            -28.46,  68.54   
   R142            -37.01, -97.63             61.71, -77.04   
   R143            -15.72, -59.14             37.42,  97.41   
   R144             14.53, -65.68             14.61, -32.30   
   R145            -07.32, -18.77             06.82,  94.58   
   R146            -28.09,  05.40             94.88,  06.67   
   R147             29.66, -00.34             57.12,  88.43   
   R148            -02.20, -95.97             04.27,  36.27   
   R149            -75.94, -59.99            -11.93, -35.37   
   R150            -84.70,  15.55            -18.86,  67.38   
   R151            -74.87,  16.53             03.47,  84.21   
   R152            -28.04, -47.98             06.17,  97.67   
   R153             18.32,  24.30             27.43,  96.96   
   R154            -03.91,  17.13             82.34,  32.61   
   R155            -44.57, -06.75             27.24,  28.08   
   R156            -36.39, -82.89             10.16, -70.93   
   R157            -33.25, -62.53             54.31, -44.59   
   R158            -76.77, -31.62             97.93,  48.17   
   R159            -03.42, -11.03             22.23,  22.07   
   R160            -26.71, -16.57             34.87,  03.96   
   R161             09.43, -36.42             99.99,  09.42   
   R162            -75.22,  17.39            -64.25,  43.86   
   R163            -16.73, -11.85             32.00,  52.06   
   R164            -20.32,  11.17             91.58,  77.17   
   R165            -42.75, -29.77            -20.12,  09.16   
   R166             19.41, -65.78             87.36,  14.55   
   R167            -05.71, -88.06             72.04, -13.11   
   R168             17.60,  27.21             58.36,  40.02   
   R169            -18.71, -34.56             60.07,  38.53   
   R170            -96.02, -73.97             42.52, -23.68   
   R171            -97.61, -40.51            -96.16,  25.04   
   R172            -22.57,  03.89            -02.37,  13.50   
   R173            -90.88, -66.08            -79.55,  18.13   
   R174            -43.60,  27.44             32.90,  75.11   
   R175             12.58,  23.74             79.76,  61.49   
   R176            -41.32, -13.23            -13.51,  33.30   
   R177            -18.09,  29.52             54.21,  95.70   
   R178             13.87, -89.84             18.39, -89.44   
   R179            -78.70, -37.49             58.62, -17.23   
   R180            -21.02,  23.47             90.83,  65.21   
   R181            -27.34, -62.07             39.48,  05.33   
   R182            -88.74, -44.13             87.11,  68.64   
   R183            -98.25, -15.66             72.33,  81.44   
   R184            -17.54,  22.47            -14.54,  54.71   
   R185            -67.71, -88.93             86.22, -50.87   
   R186            -29.22, -01.53             64.67,  88.58   
   R187            -46.64,  22.54            -05.39,  46.95   
   R188            -94.36, -33.85             04.55,  23.78   
   R189            -76.96, -37.08            -15.50,  39.59   
   R190            -98.57, -77.02            -73.10,  37.59   
   R191            -41.51,  28.30             18.57,  84.40   
   R192             27.51,  16.23             86.75,  81.15   
   R193            -60.84, -24.96            -37.91,  97.66   
   R194            -09.90, -33.10             46.56,  35.52   
   R195            -58.68,  06.10             96.35,  44.31   
   R196            -59.90, -50.61            -33.67,  04.57   
   R197            -43.42, -02.39            -07.30,  68.64   
   R198            -37.79, -92.55             95.67,  48.17   
   R199            -32.08, -92.87             62.97, -85.79   
